,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
,0.00% 10.00% 20.00% 30.00% 40.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7401-601,0,2,2,5,4,1,0,0,0,0,0,0,0,14,3.332,0,0,0,14
MULVANEY T,0.00% 14.29% 14.29% 35.71% 28.57%,,,,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,5,4,1,0,0,0,0,0,0,0,14,3.332,0,0,0,14
,0.00% 14.29% 14.29% 35.71% 28.57%,,,,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7408-601,0,3,2,4,3,4,0,0,0,0,0,0,0,16,3.271,0,0,0,16
MORMANN F,0.00% 18.75% 12.50% 25.00% 18.75% 25.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,2,4,3,4,0,0,0,0,0,0,0,16,3.271,0,0,0,16
,0.00% 18.75% 12.50% 25.00% 18.75% 25.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7412-601,0,0,0,10,0,0,0,0,0,0,0,0,0,10,3.33,0,0,0,10
ZADEH J,0.00%,0.00%,0.00% 100.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,10,0,0,0,0,0,0,0,0,0,10,3.33,0,0,0,10
,0.00%,0.00%,0.00% 100.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7413-601,0,2,4,3,6,5,3,2,0,0,0,0,0,25,3,0,0,0,25
