,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
SCMT-303-101,8,5,3,0,0,16,3.312,1,0,0,1,0,18,ARREOLA-RISA A
,50.00%,31.25%,18.75%,0.00%,0.00%,,,,,,,,,
SCMT-303-201,27,10,5,0,0,42,3.523,0,0,0,3,0,45,DARCEY L
,64.29%,23.81%,11.90%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,15,8,0,0,58,3.465,1,0,0,4,0,63,
,60.34%,25.86%,13.79%,0.00%,0.00%,,,,,,,,,
SCMT-364-101,32,10,1,0,0,43,3.72,0,0,0,0,0,43,PAPPU M
,74.42%,23.26%,2.33%,0.00%,0.00%,,,,,,,,,
SCMT-364-201,26,13,0,2,0,41,3.536,0,0,0,0,0,41,PAPPU M
