,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,ACADEMIC ENHANCEMENT-GV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
MAST-425-901,6,2,2,0,0,10,3.4,0,0,0,0,0,10,HANEY A
,60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,2,2,0,0,10,3.4,0,0,0,0,0,10,
,60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,,,
MAST-481-200,22,0,0,0,0,22,4,0,0,0,0,0,22,LAWHON D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,0,0,0,22,4,0,0,0,0,0,22,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MAST-489-401,8,4,0,0,1,13,3.384,0,0,0,1,0,14,JOSVOLL K
,61.54%,30.77%,0.00%,0.00%,7.69%,,,,,,,,,
COURSE TOTAL:,8,4,0,0,1,13,3.384,0,0,0,1,0,14,
,61.54%,30.77%,0.00%,0.00%,7.69%,,,,,,,,,
MAST-491-401,7,0,0,0,0,7,0,0,1,0,0,0,8,HUFTON A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,7,0,0,0,0,7,Error,0,1,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MATH-102-401,9,13,12,2,2,38,2.657,0,0,0,13,0,51,ACERO-SCHERTZER C
,23.68%,34.21%,31.58%,5.26%,5.26%,,,,,,,,,
MATH-102-402,5,11,18,4,8,46,2.021,0,0,0,6,0,52,ACERO-SCHERTZER C
,10.87%,23.91%,39.13%,8.70%,17.39%,,,,,,,,,
COURSE TOTAL:,14,24,30,6,10,84,2.309,0,0,0,19,0,103,
,16.67%,28.57%,35.71%,7.14%,11.90%,,,,,,,,,
MATH-141-401,13,11,8,3,7,42,2.476,0,0,0,7,0,49,ACERO-SCHERTZER C
,30.95%,26.19%,19.05%,7.14%,16.67%,,,,,,,,,
MATH-141-402,4,11,17,9,3,44,2.09,0,0,0,3,0,47,PANGEMANAN A
,9.09%,25.00%,38.64%,20.45%,6.82%,,,,,,,,,
MATH-141-403,5,8,7,10,5,35,1.942,0,0,0,6,0,41,LUXEMBURG L
,14.29%,22.86%,20.00%,28.57%,14.29%,,,,,,,,,
MATH-141-406,17,15,10,4,2,48,2.854,0,0,0,1,0,49,GOODSON J
,35.42%,31.25%,20.83%,8.33%,4.17%,,,,,,,,,
MATH-141-407,8,14,10,2,3,37,2.594,0,0,0,2,0,39,GOODSON J
,21.62%,37.84%,27.03%,5.41%,8.11%,,,,,,,,,
COURSE TOTAL:,47,59,52,28,20,206,2.412,0,0,0,19,0,225,
,22.82%,28.64%,25.24%,13.59%,9.71%,,,,,,,,,
MATH-142-401,3,5,5,7,2,22,2,0,0,0,7,0,29,QIU L
,13.64%,22.73%,22.73%,31.82%,9.09%,,,,,,,,,
MATH-142-402,5,6,12,0,0,23,2.695,0,0,0,1,0,24,SUEN C
,21.74%,26.09%,52.17%,0.00%,0.00%,,,,,,,,,
MATH-142-403,6,8,8,5,3,30,2.3,0,0,0,1,0,31,GOODSON J
,20.00%,26.67%,26.67%,16.67%,10.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
